Page,History,Weight,Character 1,Character 2,Character 3,Character 4,Character 5,Character 6,Character 7,Character 8,Character 9,Character 10,Character 11,Character 12,Character 13,Character 14,Character 15,Character 16,Character 17,Character 18,Character 19,Character 20,Character 21,Character 22
Page 25,1,1,Zé Caveirinha,Jonas (cadeirante),João (irmão de Jonas),,,,,,,,,,,,,,,,,,,
Page 26,1,1,Anjinho,Jonas (cadeirante),João (irmão de Jonas),,,,,,,,,,,,,,,,,,,
Page 27,1,1,Mônica,Cebolinha,Anjinho,Anjoteque,Jonas (cadeirante),João (irmão de Jonas),,,,,,,,,,,,,,,,
Page 28,1,1,Mônica,Cebolinha,Anjinho,,,,,,,,,,,,,,,,,,,
Page 29,,,,,,,,,,,,,,,,,,,,,,,,
Page 30,2,1,Franjinha,Bidu,,,,,,,,,,,,,,,,,,,,
Page 31,3,1,Piteco,#tdm_38 Dinossauro 1,,,,,,,,,,,,,,,,,,,,
Page 32,3,1,Piteco,#tdm_38 Dinossauro 2,,,,,,,,,,,,,,,,,,,,
Page 33,3,1,Piteco,Bolota,,,,,,,,,,,,,,,,,,,,
Page 34,3,1,Piteco,Bolota,,,,,,,,,,,,,,,,,,,,
Page 35,3,1,Piteco,#tdm_38 Dinossauro 3,#tdm_38 Dinossauro 4,,,,,,,,,,,,,,,,,,,
Page 36,3,1,Piteco,#tdm_38 Sábio da Montanha,,,,,,,,,,,,,,,,,,,,
Page 37,3,1,Piteco,#tdm_38 Sábio da Montanha,,,,,,,,,,,,,,,,,,,,
Page 38.1,3,0.5,Piteco,#tdm_38 Dinossauro 5,,,,,,,,,,,,,,,,,,,,
Page 38.2,,0.5,Piteco,#tdm_38 Dinossauro 6,,,,,,,,,,,,,,,,,,,,
Page 39,,,,,,,,,,,,,,,,,,,,,,,,
Page 40,,,,,,,,,,,,,,,,,,,,,,,,
Page 41,,,,,,,,,,,,,,,,,,,,,,,,
Page 42,,,,,,,,,,,,,,,,,,,,,,,,
Page 43,,,,,,,,,,,,,,,,,,,,,,,,
Page 44,4,1,Xaveco,Seu Xavier,,,,,,,,,,,,,,,,,,,,
Page 45,4,1,Xaveco,Seu Xavier,,,,,,,,,,,,,,,,,,,,
Page 46,4,1,Xaveco,Seu Xavier,,,,,,,,,,,,,,,,,,,,
Page 47,4,1,Xaveco,Seu Xavier,,,,,,,,,,,,,,,,,,,,
Page 48,4,1,Xaveco,Seu Xavier,,,,,,,,,,,,,,,,,,,,
Page 49,4,1,Xaveco,Seu Xavier,,,,,,,,,,,,,,,,,,,,
Page 50,4,1,Xaveco,Seu Xavier,,,,,,,,,,,,,,,,,,,,
Page 51,4,1,Xaveco,Seu Xavier,,,,,,,,,,,,,,,,,,,,
Page 52,4,1,Xaveco,Seu Xavier,#tdm_38 Bombeiro 1,#tdm_38 Bombeiro 2,#tdm_38 Bombeiro 3,#tdm_38 Bombeiro 4,,,,,,,,,,,,,,,,
Page 53.1,4,0.5,Xaveco,Seu Xavier,,,,,,,,,,,,,,,,,,,,
Page 53.2,,0.5,Xaveco,Xabéu,Dona Xarlene,,,,,,,,,,,,,,,,,,,
Page 54,5,1,Piteco,Thuga,#tdm_38 Dinossauro 7,,,,,,,,,,,,,,,,,,,
Page 55,,,,,,,,,,,,,,,,,,,,,,,,
Page 56,6,1,Cebolinha,Cascão,,,,,,,,,,,,,,,,,,,,
Page 57,6,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,,,,
Page 58,6,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,,,,
Page 59,6,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,,,,
Page 60,6,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,,,,
Page 61,6,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,,,,
Page 62,6,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,,,,
Page 63,6,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,,,,
Page 64,6,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,,,,
Page 65,6,1,Mônica,Cebolinha,Magali,Cascão,,,,,,,,,,,,,,,,,,
Page 66,7,1,Penadinho,,,,,,,,,,,,,,,,,,,,,
Page 67,,,,,,,,,,,,,,,,,,,,,,,,
Page 68,,,,,,,,,,,,,,,,,,,,,,,,
